Acidothermus cellulolyticus
Acineta chrysantha
Acidiphilium cryptum (strain JF-5)
Acidithiobacillus caldus (strain ATCC 51756 / DSM 8584 / KU)
Acinetobacter calcoaceticus (strain PHEA-2)
Acinetospora crinita
Acidithiobacillus caldus (strain SM-1)
Acidiphilium cryptum
Acipenser dabryanus
Acidovorax delafieldii
Acidovorax ebreus (strain TPSY)
Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455)
Acidithiobacillus ferrooxidans (strain ATCC 53993)
Acidocella facilis
Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)
Acidaminococcus fermentans
Acidithiobacillus ferrooxidans
Acipenser fulvescens
Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4)
Acinetobacter genomosp. 13
Acinetobacter genomosp. 6
Acinetobacter guillouiae
Acinetobacter glutaminasificans
Acipenser gueldenstaedtii
Acinetobacter haemolyticus
Acidianus hospitalis (strain W1)
Acidianus infernus
Acidaminococcus intestini (strain RyC-MR95)
Acinonyx jubatus
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter lwoffii
Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU301)
Acipenser medirostris
Acipenser mikadoi
Acidomonas methanolica
Acidiphilium multivorum
Acipenser naccarii
Acinetobacter nosocomialis
Acipenser nudiventris
Acidiphilium organovorum
Acipenser oxyrinchus
Acipenser persicus
Acinetobacter pittii
Acinetobacter radioresistens
Acipenser ruthenus
Acidiphilium rubrum
Aciduliprofundum sp. (strain MAR08-339)
Acidianus sp. (strain A1-3)
Acidilobus saccharovorans (strain DSM 16705 / JCM 18335 / VKM B-2471 / 345-15)
Acinetobacter sp. (strain ATCC 33308 / BD413 ErpE27)
Acinetobacter sp. (strain SEIP 12.81)
Acinetobacter sp. (strain T4)
Acinetobacter sp. (strain AK226)
Acidaminococcus sp. (strain BV3L6)
Acipenser schrenckii
Acinetobacter oleivorans (strain JCM 16667 / KCTC 23045 / DR1)
Acinetobacter sp. (strain ED45-25)
Acipenser sinensis
Acidovorax sp. (strain JS42)
Acilius sulcatus
Acinetobacter sp. (strain NCIMB 9871)
Acinetobacter sp.
Acinetobacter sp. (strain RA3849)
Acipenser stellatus
Acipenser sturio
Acidithiobacillus thiooxidans
Acipenser transmontanus
Acizzia uncatoides
